,0.01,0.11,0.21,0.31,0.41,0.51,0.61,0.71,0.81,0.91,1.01
0.01,inf, inf,87594911.67, inf, inf, inf, inf, inf, inf, inf, inf
0.11,inf,72241808.14,73903312.5, inf, inf, inf, inf, inf, inf, inf, inf
0.21,inf,72219949.34,73896279.8, inf, inf, inf, inf, inf, inf, inf, inf
0.31,inf,72217466.38,73903977.52, inf, inf, inf, inf, inf, inf, inf, inf
0.41,72862336.38,71310262.1,72639926.03, inf, inf, inf, inf, inf, inf, inf, inf
0.51,71937564.5,72034128.67, inf, inf, inf, inf, inf, inf, inf, inf, inf
0.61,73996897.99,72186682.98,73715778.03, inf, inf, inf, inf, inf, inf, inf, inf
0.71,74166543.75,72143043.46,74007923.92, inf, inf, inf, inf, inf, inf, inf, inf
0.81,73696515.15,72314066.08,73666458.11, inf, inf, inf, inf, inf, inf, inf, inf
0.91,73704088.45,72335866.59,73731130.33, inf, inf, inf, inf, inf, inf, inf, inf
1.01,72224783.09,71327130.47,71591261.7, inf, inf, inf, inf, inf, inf, inf, inf
,,,,,,,,,,,
,,,,,,,,,,,
,71310262.1,,,,,,,,,,
