,0.01,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.23,0.25,0.27,0.29,0.31
0.01,inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,87594911.67,88300006.52, inf, inf, inf, inf
0.05,inf, inf, inf, inf, inf, inf, inf,74400345.69,74931976.84,75898696.66,75696095.69,74699300.55,73838882.21, inf, inf, inf
0.09,inf, inf, inf, inf, inf,72289746.33,73675344.99,72691317.94,74015473.29,73753661.32,73985957.11,74213382.22,72174239.42, inf, inf, inf
0.13,inf, inf, inf, inf, inf,72225793.89,73612239.63,71577025.7,72912621.37,72658324.64,73900670.84,74143999.64,72087013.02, inf, inf, inf
0.17,inf, inf, inf, inf, inf,72225068.94,73604185.85,71574477.28,72927019.76,72643687.9,73900999.44,74145601.3,72105598.52, inf, inf, inf
0.21,inf, inf, inf, inf,71861656.93,72225538.57,73617153.4,71584757.27,72901341.7,72665112.17,73913784.74,74179837.92,72087282.18, inf, inf, inf
0.25,inf, inf, inf, inf,71852007.24,72225397.6,73606773.78,71581285.41,72920626.68,72642446.23,73908505.34,74145349.93,72121942.51, inf, inf, inf
0.29,inf, inf, inf,70826612.42,71861268.42,72219016.47,73606595.62,71581582.34,72907389.81,72664817.57,73906316.99,74147512.14,72097385.04, inf, inf, inf
0.33,inf,73657577.03,73671593.26,74019414.66,71303517.77,71582886.71,71975127.18,70555655.97,71175876.31,71952372.66,72256341.21,71394115.01,72066670.24, inf, inf, inf
0.37,71996693.71,73534629.67,73758926.85,74239933.45,73248246.09,72931977.64,72735162.23,72195636.96,72221258.93,71967371.02,72861681.28,72878322.56,72123836.33, inf, inf, inf
0.41,72864280.5,72028643.32,72115920.49,72095962.51,72367500.8,71306797.56,71241827.39,71672650.29,71635509.4,71615534.3,72657036.98,72723276.15, inf, inf, inf, inf
0.45,72001541.84,72572888.17,72704397.03,72465688.51,72547247.9,71957509.61,71831986.07,72225587.1,72485117.39,71931592.42,72905368.66,72713143.03,71928905.94, inf, inf, inf
0.49,72063670.48,72575840.78,72622689.76,72476154.62,72574175.36,71916442.28,71928163.92,72304604.43,72603729.67,71988157.54,72812165.82,72838176.56,71984569.74, inf, inf, inf
0.53,72506851.92,73208464.97,72722063.93,72446811.1,72741888.8, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
0.57,inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
