inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 226358364.8687172, 227183204.51618028, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, 211432510.86910552, 210026462.30772084, 210563211.12466758, 210807952.88374686, 211371431.36570263, 210266634.93051872, inf, inf, inf
inf, inf, inf, inf, inf, 208390721.7627344, 210257409.52726746, 208186641.7832553, 206267235.36882183, 205069523.83533728, 208028899.77157173, 209743177.7450443, 208628175.84122464, inf, inf, inf
inf, inf, inf, inf, inf, 208168770.09441411, 209783965.351502, 208851272.92087606, 204971667.8199953, 205010456.60383618, 208031793.81397295, 208984714.15555516, 208548510.52626094, inf, inf, inf
inf, inf, inf, inf, inf, 211714516.5007478, 209307947.223209, 210254550.20695537, 204940486.71024057, 204884742.58448657, 208091292.84175128, 208109648.43863064, 208561386.3138714, inf, inf, inf
inf, inf, inf, inf, 212069750.5889229, 215241015.22877368, 209843984.8471597, 210130027.87124786, 205166729.04203412, 205136245.1932506, 208127489.59871852, 208253286.51246506, 208609985.2904099, inf, inf, inf
inf, inf, inf, inf, 212093432.10107437, 215241159.3685638, 209826383.13331863, 210129325.36722046, 205175154.32701722, 205087115.196877, 208136604.56264156, 208115379.17480022, 208650547.98539776, inf, inf, inf
inf, inf, inf, 210536733.91084018, 213628732.42274275, 207041091.53582957, 208205469.72077328, 208181844.9556257, 204389814.48168248, 204230388.41627997, 208396057.3259496, 209990101.53559726, 212146694.33365554, inf, inf, inf
inf, 221678701.2750929, 215540670.87697956, 211373399.15301484, 212929119.28189543, 212540219.0556655, 214950799.78754738, 210529450.2867797, 210756081.32387057, 210437768.55958655, 213311153.19657785, 212691976.47531378, 214185753.59373397, inf, inf, inf
218495912.68564105, 222750483.89218888, 220587854.58373567, 215572238.7319077, 214410695.80137262, 214898905.63006836, 212523915.13227773, 213585066.59039494, 214277809.49535367, 211503955.91845337, 215096027.94688576, 214959719.97709864, 215862102.49485454, inf, inf, inf
216462692.27349633, 215263551.37018162, 211955798.34496284, 214347212.5811189, 211981343.77220064, 212123312.10397783, 212522632.20383006, 212605270.6834002, 216196300.99176902, 213918699.42247802, 214929780.77976465, 215557714.90937307, inf, inf, inf, inf
214825803.13608354, 215828408.75071022, 212957581.7960622, 214502188.1725059, 213859406.71677104, 212150657.19640994, 213212363.4359146, 212645374.66574007, 215646621.9401035, 214089519.37926465, 216199421.79042172, 216273460.010361, 216528894.22102425, inf, inf, inf
215618158.15593448, 216687451.06994122, 214917117.04925978, 213506628.02294865, 213914219.33815312, 214516049.4487024, 211056164.66156638, 211393605.67995155, 210667451.37008548, 211738872.30031586, 213230167.27765775, 213553485.33432698, 215693021.85719854, inf, inf, inf
215781605.92557564, 215228830.27780354, 214661940.76455778, 213165375.26177692, 213944711.50959256, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
